;Марка;Цена без НДС, руб./км
11.01.2022;CONFLEX МКШВнг(А)-LS 12х3х0,5;943541,07
11.01.2022;CONFLEX МКШВнг(А)-LS 14х3х0,5;1101127,34
11.01.2022;CONFLEX МКШВнг(А)-LS 18х3х0,5;1402473,13
11.01.2022;CONFLEX МКШВнг(А)-LS 24х3х0,5;1863859,77
11.01.2022;CONFLEX МКШВнг(А)-LS 4х3х0,5;329031,07
11.01.2022;CONFLEX МКШВнг(А)-LS 6х3х0,5;480906,23
11.01.2022;CONFLEX МКШВнг(А)-LS 10х1,0;506212,86
11.01.2022;CONFLEX МКШВнг(А)-LS 12х2х1,0;1224940,2
11.01.2022;CONFLEX МКШВнг(А)-LS 12х3х2,5;4143429,94
11.01.2022;CONFLEX МКШВнг(А)-LS 14х3х1,0;2119913,82
11.01.2022;CONFLEX МКШВнг(А)-LS 14х3х2,5;4854923,33
11.01.2022;CONFLEX МКШВнг(А)-LS 16х3х0,75;1858776,28
11.01.2022;CONFLEX МКШВнг(А)-LS 16х3х2,5;5550077,55
11.01.2022;CONFLEX МКШВнг(А)-LS 17х0,75;650872,56
11.01.2022;CONFLEX МКШВнг(А)-LS 17х2,5;1921050,97
11.01.2022;CONFLEX МКШВнг(А)-LS 18х3х1,0;2706608,79
11.01.2022;CONFLEX МКШВнг(А)-LS 18х3х1,5;3857735,61
11.01.2022;CONFLEX МКШВнг(А)-LS 19х2,5;2139381,51
11.01.2022;CONFLEX МКШВнг(А)-LS 24х1,0;1183564,38
11.01.2022;CONFLEX МКШВнг(А)-LS 24х2х0,75;1867648,75
11.01.2022;CONFLEX МКШВнг(А)-LS 24х2х1,0;2422982,1
11.01.2022;CONFLEX МКШВнг(А)-LS 24х3х1,0;3587465,73
11.01.2022;CONFLEX МКШВнг(А)-LS 27х2х1,0;2716350,98
11.01.2022;CONFLEX МКШВнг(А)-LS 27х2х1,5;3879373,54
11.01.2022;CONFLEX МКШВнг(А)-LS 2х0,75;89992,6
11.01.2022;CONFLEX МКШВнг(А)-LS 2х2х1,0;225294,17
11.01.2022;CONFLEX МКШВнг(А)-LS 2х2х1,5;310463,35
11.01.2022;CONFLEX МКШВнг(А)-LS 2х3х0,75;251007,92
11.01.2022;CONFLEX МКШВнг(А)-LS 30х1,0;1465187,46
11.01.2022;CONFLEX МКШВнг(А)-LS 30х2,5;3360433,77
11.01.2022;CONFLEX МКШВнг(А)-LS 37х1,5;2564270,54
11.01.2022;CONFLEX МКШВнг(А)-LS 37х2х1,0;3706066,77
11.01.2022;CONFLEX МКШВнг(А)-LS 3х0,75;130796,51
11.01.2022;CONFLEX МКШВнг(А)-LS 3х1,0;166177,32
11.01.2022;CONFLEX МКШВнг(А)-LS 3х2,5;355727,24
11.01.2022;CONFLEX МКШВнг(А)-LS 3х2х1,5;452941,04
11.01.2022;CONFLEX МКШВнг(А)-LS 3х2х2,5;715622,57
11.01.2022;CONFLEX МКШВнг(А)-LS 4х0,75;167656,56
11.01.2022;CONFLEX МКШВнг(А)-LS 4х2,5;465413,2
11.01.2022;CONFLEX МКШВнг(А)-LS 4х2х1,0;424939,59
11.01.2022;CONFLEX МКШВнг(А)-LS 4х3х1,5;870744,98
11.01.2022;CONFLEX МКШВнг(А)-LS 5х0,75;205227,53
11.01.2022;CONFLEX МКШВнг(А)-LS 5х2х1,5;735313,72
11.01.2022;CONFLEX МКШВнг(А)-LS 5х3х0,75;591453,09
11.01.2022;CONFLEX МКШВнг(А)-LS 5х3х1,0;764598,74
11.01.2022;CONFLEX МКШВнг(А)-LS 5х3х1,5;1087917,14
11.01.2022;CONFLEX МКШВнг(А)-LS 6х1,0;310575,65
11.01.2022;CONFLEX МКШВнг(А)-LS 6х2,5;686320,39
11.01.2022;CONFLEX МКШВнг(А)-LS 6х2х2,5;1404519,12
